crop_name_ml,crop_name_en,cultivation_zones,soil_types,fertilizers,seasons,pest_control_methods
ജാതിക്ക വെളുത്തുള്ളി,Sweet Potato,പാലക്കാട്,"ചെങ്കൽ മണ്ണ്, എക്കൽ മണ്ണ്",പച്ചിലവളം,കാർഷിക സീസൺ,"സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
ചോളം,Plantain,"തൃശ്ശൂർ, കോട്ടയം","കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്","ജൈവവളം, കമ്പോസ്റ്റ്",കാർഷിക സീസൺ,"രാസ മരുന്ന്, സമഗ്ര കീട പരിപാലനം"
നിലക്കടല,Sweet Potato,"കാസർഗോഡ്, പത്തനംതിട്ട, കോട്ടയം",ചെങ്കൽ മണ്ണ്,"രാസവളം, കമ്പോസ്റ്റ്","കാർഷിക സീസൺ, തുലാവർഷം",രാസ മരുന്ന്
മുരിങ്ങ,Sorghum,"ഇടുക്കി, കണ്ണൂർ",എക്കൽ മണ്ണ്,പച്ചിലവളം,മഴക്കാലം,ജൈവ കീട നിയന്ത്രണം
ചോളം,Wheat,"തിരുവനന്തപുരം, കൊല്ലം, കണ്ണൂർ",മണൽ മണ്ണ്,"പച്ചിലവളം, രാസവളം",കാർഷിക സീസൺ,"സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
പച്ചമുളക്,Cashew,"തൃശ്ശൂർ, കോട്ടയം",കളിമണ്ണ്,"കമ്പോസ്റ്റ്, രാസവളം","വേനൽക്കാലം, കാർഷിക സീസൺ","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
ഏലം,Ginger,"തിരുവനന്തപുരം, എറണാകുളം, തൃശ്ശൂർ",മണൽ മണ്ണ്,രാസവളം,"തുലാവർഷം, മഴക്കാലം","സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
അരിക്കാട്ട്,Ginger,"തിരുവനന്തപുരം, കൊല്ലം, കോഴിക്കോട്","എക്കൽ മണ്ണ്, കളിമണ്ണ്",ജൈവവളം,തുലാവർഷം,രാസ മരുന്ന്
എള്ള്,Grampu,"ഇടുക്കി, കാസർഗോഡ്",മണൽ മണ്ണ്,"പച്ചിലവളം, ജൈവവളം","തുലാവർഷം, കാർഷിക സീസൺ",രാസ മരുന്ന്
പപ്പായ,Turmeric,"കോഴിക്കോട്, വയനാട്",ചെങ്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, രാസവളം","കാർഷിക സീസൺ, മഴക്കാലം",ജൈവ കീട നിയന്ത്രണം
ഏലം,Finger Millet,വയനാട്,"എക്കൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",ജൈവവളം,തുലാവർഷം,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
ചെറുകിട (തിനാ / ചാമ),Coconut,"പാലക്കാട്, ഇടുക്കി","ചെങ്കൽ മണ്ണ്, കളിമണ്ണ്","ജൈവവളം, കമ്പോസ്റ്റ്",തുലാവർഷം,ജൈവ കീട നിയന്ത്രണം
ചെറുകിട (തിനാ / ചാമ),Coffee,"കാസർഗോഡ്, കൊല്ലം, മലപ്പുറം","ചെങ്കൽ മണ്ണ്, കളിമണ്ണ്","രാസവളം, പച്ചിലവളം",കാർഷിക സീസൺ,ജൈവ കീട നിയന്ത്രണം
ജാതിക്ക വെളുത്തുള്ളി,Black Pepper,കാസർഗോഡ്,ചെങ്കൽ മണ്ണ്,പച്ചിലവളം,വേനൽക്കാലം,സമഗ്ര കീട പരിപാലനം
ഗോതമ്പ്,Ginger,പത്തനംതിട്ട,കളിമണ്ണ്,രാസവളം,"കാർഷിക സീസൺ, മഴക്കാലം",സമഗ്ര കീട പരിപാലനം
മധുരക്കിഴങ്ങ്,Tobacco,"തൃശ്ശൂർ, മലപ്പുറം, തിരുവനന്തപുരം","ചെങ്കൽ മണ്ണ്, കളിമണ്ണ്",പച്ചിലവളം,വേനൽക്കാലം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ഫിംഗർ മില്ലറ്റ്,Wheat,"പാലക്കാട്, പത്തനംതിട്ട","ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്",രാസവളം,"തുലാവർഷം, കാർഷിക സീസൺ",ജൈവ കീട നിയന്ത്രണം
ചോളം,Black Pepper,"തിരുവനന്തപുരം, കാസർഗോഡ്, കോഴിക്കോട്",കളിമണ്ണ്,"കമ്പോസ്റ്റ്, പച്ചിലവളം","തുലാവർഷം, മഴക്കാലം",രാസ മരുന്ന്
ഉരുളക്കിഴങ്ങ്,Arrowroot,കോഴിക്കോട്,"മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",ജൈവവളം,കാർഷിക സീസൺ,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, ജൈവ കീട നിയന്ത്രണം"
വെറ്റില,Mango,പത്തനംതിട്ട,"കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്","രാസവളം, ജൈവവളം","കാർഷിക സീസൺ, മഴക്കാലം",ജൈവ കീട നിയന്ത്രണം
വാഴപ്പഴം,Plantain,"എറണാകുളം, കോഴിക്കോട്",ചെങ്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, പച്ചിലവളം",വേനൽക്കാലം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
പൈനാപ്പിൾ,Chili,പാലക്കാട്,ചെങ്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, രാസവളം",തുലാവർഷം,ജൈവ കീട നിയന്ത്രണം
വെറ്റില,Tobacco,കൊല്ലം,"കളിമണ്ണ്, മണൽ മണ്ണ്",ജൈവവളം,വേനൽക്കാലം,രാസ മരുന്ന്
ചെറുകിട (തിനാ / ചാമ),Drumstick,"കോട്ടയം, കൊല്ലം",ചെങ്കൽ മണ്ണ്,"ജൈവവളം, പച്ചിലവളം","തുലാവർഷം, മഴക്കാലം","ജൈവ കീട നിയന്ത്രണം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
പരുത്തി,Sesame,പാലക്കാട്,മണൽ മണ്ണ്,ജൈവവളം,"മഴക്കാലം, വേനൽക്കാലം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
കുരുമുളക്,Finger Millet,"കണ്ണൂർ, പാലക്കാട്, എറണാകുളം",ചെങ്കൽ മണ്ണ്,"ജൈവവളം, രാസവളം",തുലാവർഷം,ജൈവ കീട നിയന്ത്രണം
കരിമ്പ്,Tobacco,കാസർഗോഡ്,"ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്","പച്ചിലവളം, രാസവളം","വേനൽക്കാലം, കാർഷിക സീസൺ","സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
മധുരക്കിഴങ്ങ്,Garlic,എറണാകുളം,എക്കൽ മണ്ണ്,"പച്ചിലവളം, രാസവളം",മഴക്കാലം,"രാസ മരുന്ന്, സമഗ്ര കീട പരിപാലനം"
പുകയില,Cotton,"കോട്ടയം, പത്തനംതിട്ട, കോഴിക്കോട്","കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്",ജൈവവളം,"വേനൽക്കാലം, മഴക്കാലം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
ഉരുളക്കിഴങ്ങ്,Drumstick,"പാലക്കാട്, തിരുവനന്തപുരം, കൊല്ലം","മണൽ മണ്ണ്, എക്കൽ മണ്ണ്","രാസവളം, പച്ചിലവളം","വേനൽക്കാലം, മഴക്കാലം","സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
അരിക്കാട്ട്,Turmeric,മലപ്പുറം,കളിമണ്ണ്,പച്ചിലവളം,മഴക്കാലം,"സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ജാതിക്ക വെളുത്തുള്ളി,Drumstick,തിരുവനന്തപുരം,മണൽ മണ്ണ്,"കമ്പോസ്റ്റ്, പച്ചിലവളം",തുലാവർഷം,രാസ മരുന്ന്
പച്ചമുളക്,Chili,"പത്തനംതിട്ട, കോട്ടയം",കളിമണ്ണ്,രാസവളം,"കാർഷിക സീസൺ, വേനൽക്കാലം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
ചെറുകിട (തിനാ / ചാമ),Mango,കാസർഗോഡ്,"കളിമണ്ണ്, മണൽ മണ്ണ്",രാസവളം,മഴക്കാലം,"രാസ മരുന്ന്, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ഇഞ്ചി,Rice,"പാലക്കാട്, കോട്ടയം, എറണാകുളം",എക്കൽ മണ്ണ്,"രാസവളം, പച്ചിലവളം","മഴക്കാലം, വേനൽക്കാലം",ജൈവ കീട നിയന്ത്രണം
അരിക്കാട്ട്,Sugarcane,കോഴിക്കോട്,മണൽ മണ്ണ്,രാസവളം,"തുലാവർഷം, വേനൽക്കാലം","രാസ മരുന്ന്, സമഗ്ര കീട പരിപാലനം"
മാങ്ങ,Betel Leaf,"കാസർഗോഡ്, ഇടുക്കി, എറണാകുളം","കളിമണ്ണ്, മണൽ മണ്ണ്",രാസവളം,"വേനൽക്കാലം, തുലാവർഷം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
പരുത്തി,Sweet Potato,മലപ്പുറം,"കളിമണ്ണ്, എക്കൽ മണ്ണ്",പച്ചിലവളം,വേനൽക്കാലം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ചെറുകിട (തിനാ / ചാമ),Garlic,"മലപ്പുറം, കോട്ടയം","ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്",രാസവളം,തുലാവർഷം,ജൈവ കീട നിയന്ത്രണം
മാങ്ങ,Cardamom,കണ്ണൂർ,"എക്കൽ മണ്ണ്, കളിമണ്ണ്","പച്ചിലവളം, രാസവളം",തുലാവർഷം,രാസ മരുന്ന്
ഗോതമ്പ്,Grampu,"കണ്ണൂർ, പാലക്കാട്",എക്കൽ മണ്ണ്,"ജൈവവളം, രാസവളം",വേനൽക്കാലം,സമഗ്ര കീട പരിപാലനം
ജാതിക്ക വെളുത്തുള്ളി,Chili,"കോട്ടയം, ഇടുക്കി, മലപ്പുറം","എക്കൽ മണ്ണ്, കളിമണ്ണ്","ജൈവവളം, കമ്പോസ്റ്റ്",കാർഷിക സീസൺ,രാസ മരുന്ന്
ചായ,Wheat,മലപ്പുറം,എക്കൽ മണ്ണ്,ജൈവവളം,"മഴക്കാലം, തുലാവർഷം","സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
ഉരുളക്കിഴങ്ങ്,Small Millet,"തൃശ്ശൂർ, കോട്ടയം",കളിമണ്ണ്,പച്ചിലവളം,"വേനൽക്കാലം, കാർഷിക സീസൺ",രാസ മരുന്ന്
കരിമ്പ്,Cashew,"തിരുവനന്തപുരം, കൊല്ലം",കളിമണ്ണ്,ജൈവവളം,"കാർഷിക സീസൺ, മഴക്കാലം",ജൈവ കീട നിയന്ത്രണം
മാങ്ങ,Cashew,"ഇടുക്കി, എറണാകുളം, തിരുവനന്തപുരം","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","ജൈവവളം, രാസവളം",തുലാവർഷം,"രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
നിലക്കടല,Turmeric,"പാലക്കാട്, കോട്ടയം, വയനാട്","ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്","കമ്പോസ്റ്റ്, ജൈവവളം",മഴക്കാലം,രാസ മരുന്ന്
മാങ്ങ,Coconut,"കോട്ടയം, മലപ്പുറം",ചെങ്കൽ മണ്ണ്,പച്ചിലവളം,"മഴക്കാലം, വേനൽക്കാലം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
വാഴപ്പഴം,Coffee,"എറണാകുളം, തിരുവനന്തപുരം, വയനാട്","ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്",പച്ചിലവളം,വേനൽക്കാലം,രാസ മരുന്ന്
എള്ള്,Papaya,പത്തനംതിട്ട,ചെങ്കൽ മണ്ണ്,"പച്ചിലവളം, കമ്പോസ്റ്റ്",തുലാവർഷം,സമഗ്ര കീട പരിപാലനം
പച്ചമുളക്,Drumstick,"തൃശ്ശൂർ, എറണാകുളം, കാസർഗോഡ്",കളിമണ്ണ്,രാസവളം,മഴക്കാലം,"രാസ മരുന്ന്, സമഗ്ര കീട പരിപാലനം"
എള്ള്,Pineapple,കൊല്ലം,"മണൽ മണ്ണ്, കളിമണ്ണ്",രാസവളം,"മഴക്കാലം, കാർഷിക സീസൺ",സമഗ്ര കീട പരിപാലനം
ഗോതമ്പ്,Plantain,ഇടുക്കി,"എക്കൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","കമ്പോസ്റ്റ്, ജൈവവളം","വേനൽക്കാലം, കാർഷിക സീസൺ",ജൈവ കീട നിയന്ത്രണം
കശുവണ്ടി,Mango,"വയനാട്, എറണാകുളം, പത്തനംതിട്ട",എക്കൽ മണ്ണ്,പച്ചിലവളം,"മഴക്കാലം, തുലാവർഷം",ജൈവ കീട നിയന്ത്രണം
കരിമ്പ്,Tea,"തൃശ്ശൂർ, തിരുവനന്തപുരം",ചെങ്കൽ മണ്ണ്,"രാസവളം, പച്ചിലവളം",വേനൽക്കാലം,"രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
കൊക്കോ,Tobacco,തൃശ്ശൂർ,"മണൽ മണ്ണ്, എക്കൽ മണ്ണ്","രാസവളം, ജൈവവളം",കാർഷിക സീസൺ,ജൈവ കീട നിയന്ത്രണം
കരിമ്പ്,Coconut,കോഴിക്കോട്,"ചെങ്കൽ മണ്ണ്, കളിമണ്ണ്",കമ്പോസ്റ്റ്,തുലാവർഷം,രാസ മരുന്ന്
കാപ്പി,Arrowroot,"എറണാകുളം, പാലക്കാട്, കോട്ടയം","കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്",ജൈവവളം,വേനൽക്കാലം,"സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
ഗ്രാമ്പൂ,Coffee,"ഇടുക്കി, കൊല്ലം, തിരുവനന്തപുരം",കളിമണ്ണ്,ജൈവവളം,തുലാവർഷം,സമഗ്ര കീട പരിപാലനം
കാപ്പി,Arrowroot,"കാസർഗോഡ്, വയനാട്",കളിമണ്ണ്,രാസവളം,"വേനൽക്കാലം, കാർഷിക സീസൺ","ജൈവ കീട നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
ഗ്രാമ്പൂ,Sesame,"കോഴിക്കോട്, ഇടുക്കി","എക്കൽ മണ്ണ്, മണൽ മണ്ണ്","ജൈവവളം, കമ്പോസ്റ്റ്",കാർഷിക സീസൺ,സമഗ്ര കീട പരിപാലനം
ഉരുളക്കിഴങ്ങ്,Tea,എറണാകുളം,"ചെങ്കൽ മണ്ണ്, എക്കൽ മണ്ണ്",രാസവളം,"തുലാവർഷം, മഴക്കാലം","ജൈവ കീട നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
ജാതിക്ക വെളുത്തുള്ളി,Pineapple,കാസർഗോഡ്,"കളിമണ്ണ്, എക്കൽ മണ്ണ്","രാസവളം, പച്ചിലവളം","കാർഷിക സീസൺ, തുലാവർഷം","രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
നിലക്കടല,Coffee,"മലപ്പുറം, കണ്ണൂർ","ചെങ്കൽ മണ്ണ്, കളിമണ്ണ്","പച്ചിലവളം, രാസവളം",കാർഷിക സീസൺ,രാസ മരുന്ന്
പരുത്തി,Cotton,"കോട്ടയം, പത്തനംതിട്ട, എറണാകുളം","ചെങ്കൽ മണ്ണ്, എക്കൽ മണ്ണ്",കമ്പോസ്റ്റ്,മഴക്കാലം,സമഗ്ര കീട പരിപാലനം
ചെറുകിട (തിനാ / ചാമ),Sweet Potato,"കൊല്ലം, വയനാട്, പത്തനംതിട്ട",എക്കൽ മണ്ണ്,രാസവളം,"വേനൽക്കാലം, കാർഷിക സീസൺ","ജൈവ കീട നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
പുകയില,Betel Leaf,കാസർഗോഡ്,"മണൽ മണ്ണ്, കളിമണ്ണ്","ജൈവവളം, പച്ചിലവളം","തുലാവർഷം, മഴക്കാലം","ജൈവ കീട നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
വാഴപ്പഴം,Black Pepper,"വയനാട്, പത്തനംതിട്ട",കളിമണ്ണ്,"പച്ചിലവളം, കമ്പോസ്റ്റ്",വേനൽക്കാലം,"ജൈവ കീട നിയന്ത്രണം, രാസ മരുന്ന്"
പച്ചമുളക്,Sorghum,"ഇടുക്കി, കണ്ണൂർ, തൃശ്ശൂർ","കളിമണ്ണ്, എക്കൽ മണ്ണ്",പച്ചിലവളം,തുലാവർഷം,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, ജൈവ കീട നിയന്ത്രണം"
വെറ്റില,Pineapple,"തിരുവനന്തപുരം, പത്തനംതിട്ട, തൃശ്ശൂർ","കളിമണ്ണ്, മണൽ മണ്ണ്",കമ്പോസ്റ്റ്,"തുലാവർഷം, മഴക്കാലം",ജൈവ കീട നിയന്ത്രണം
ടർ / ചുവന്ന പയർ,Plantain,കോഴിക്കോട്,"കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്",രാസവളം,മഴക്കാലം,ജൈവ കീട നിയന്ത്രണം
പുകയില,Black Pepper,"കൊല്ലം, തിരുവനന്തപുരം, തൃശ്ശൂർ","കളിമണ്ണ്, മണൽ മണ്ണ്","കമ്പോസ്റ്റ്, രാസവളം",വേനൽക്കാലം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
കാപ്പി,Mango,"തൃശ്ശൂർ, എറണാകുളം, വയനാട്",ചെങ്കൽ മണ്ണ്,പച്ചിലവളം,തുലാവർഷം,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
ചെറുകിട (തിനാ / ചാമ),Chili,"പത്തനംതിട്ട, കൊല്ലം, മലപ്പുറം","എക്കൽ മണ്ണ്, മണൽ മണ്ണ്",പച്ചിലവളം,"മഴക്കാലം, കാർഷിക സീസൺ",രാസ മരുന്ന്
വാഴപ്പഴം,Sugarcane,തിരുവനന്തപുരം,കളിമണ്ണ്,"ജൈവവളം, രാസവളം",മഴക്കാലം,"രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
ഗ്രാമ്പൂ,Sweet Potato,"പത്തനംതിട്ട, കൊല്ലം","കളിമണ്ണ്, എക്കൽ മണ്ണ്","ജൈവവളം, രാസവളം",കാർഷിക സീസൺ,"രാസ മരുന്ന്, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ജാതിക്ക വെളുത്തുള്ളി,Groundnut,"തിരുവനന്തപുരം, ഇടുക്കി, മലപ്പുറം","മണൽ മണ്ണ്, കളിമണ്ണ്","രാസവളം, കമ്പോസ്റ്റ്",വേനൽക്കാലം,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
പരുത്തി,Grampu,എറണാകുളം,മണൽ മണ്ണ്,രാസവളം,മഴക്കാലം,"ജൈവ കീട നിയന്ത്രണം, രാസ മരുന്ന്"
ഇഞ്ചി,Tobacco,"ഇടുക്കി, മലപ്പുറം, കൊല്ലം",എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, രാസവളം","തുലാവർഷം, വേനൽക്കാലം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
മുരിങ്ങ,Sweet Potato,"എറണാകുളം, പാലക്കാട്",ചെങ്കൽ മണ്ണ്,"രാസവളം, കമ്പോസ്റ്റ്",തുലാവർഷം,സമഗ്ര കീട പരിപാലനം
പരുത്തി,Sweet Potato,കോഴിക്കോട്,എക്കൽ മണ്ണ്,രാസവളം,കാർഷിക സീസൺ,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
മഞ്ഞൾ,Betel Leaf,"പത്തനംതിട്ട, കൊല്ലം","കളിമണ്ണ്, മണൽ മണ്ണ്",ജൈവവളം,തുലാവർഷം,ജൈവ കീട നിയന്ത്രണം
വാഴപ്പഴം,Groundnut,കോഴിക്കോട്,"ചെങ്കൽ മണ്ണ്, എക്കൽ മണ്ണ്",ജൈവവളം,മഴക്കാലം,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
ഗ്രാമ്പൂ,Sesame,ഇടുക്കി,ചെങ്കൽ മണ്ണ്,കമ്പോസ്റ്റ്,മഴക്കാലം,ജൈവ കീട നിയന്ത്രണം
മാങ്ങ,Small Millet,"തൃശ്ശൂർ, പത്തനംതിട്ട","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",രാസവളം,"മഴക്കാലം, തുലാവർഷം",സമഗ്ര കീട പരിപാലനം
ഫിംഗർ മില്ലറ്റ്,Pigeon Pea,വയനാട്,"എക്കൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","പച്ചിലവളം, കമ്പോസ്റ്റ്",മഴക്കാലം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
കുരുമുളക്,Coconut,വയനാട്,എക്കൽ മണ്ണ്,"ജൈവവളം, കമ്പോസ്റ്റ്",വേനൽക്കാലം,ജൈവ കീട നിയന്ത്രണം
ചോളം,Tobacco,പാലക്കാട്,"എക്കൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",ജൈവവളം,മഴക്കാലം,രാസ മരുന്ന്
ചായ,Pigeon Pea,"കോട്ടയം, കോഴിക്കോട്","എക്കൽ മണ്ണ്, മണൽ മണ്ണ്","കമ്പോസ്റ്റ്, രാസവളം",തുലാവർഷം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
കൊക്കോ,Finger Millet,പത്തനംതിട്ട,ചെങ്കൽ മണ്ണ്,കമ്പോസ്റ്റ്,മഴക്കാലം,"ജൈവ കീട നിയന്ത്രണം, രാസ മരുന്ന്"
പുകയില,Mango,പാലക്കാട്,"മണൽ മണ്ണ്, എക്കൽ മണ്ണ്","രാസവളം, പച്ചിലവളം","മഴക്കാലം, കാർഷിക സീസൺ",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
മുരിങ്ങ,Cashew,"കോട്ടയം, വയനാട്, പാലക്കാട്","ചെങ്കൽ മണ്ണ്, എക്കൽ മണ്ണ്",രാസവളം,"വേനൽക്കാലം, മഴക്കാലം","സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
കരിമ്പ്,Rice,മലപ്പുറം,ചെങ്കൽ മണ്ണ്,"രാസവളം, ജൈവവളം","തുലാവർഷം, കാർഷിക സീസൺ",സമഗ്ര കീട പരിപാലനം
ഇഞ്ചി,Finger Millet,"കണ്ണൂർ, കോട്ടയം, വയനാട്",മണൽ മണ്ണ്,രാസവളം,മഴക്കാലം,"സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
പപ്പായ,Corn,"തൃശ്ശൂർ, പത്തനംതിട്ട, കാസർഗോഡ്",മണൽ മണ്ണ്,പച്ചിലവളം,തുലാവർഷം,സമഗ്ര കീട പരിപാലനം
അരിക്കാട്ട്,Small Millet,"കോട്ടയം, കോഴിക്കോട്, കൊല്ലം",മണൽ മണ്ണ്,കമ്പോസ്റ്റ്,"തുലാവർഷം, കാർഷിക സീസൺ",രാസ മരുന്ന്
മുരിങ്ങ,Coconut,"കണ്ണൂർ, തിരുവനന്തപുരം, കാസർഗോഡ്","മണൽ മണ്ണ്, കളിമണ്ണ്",കമ്പോസ്റ്റ്,"വേനൽക്കാലം, കാർഷിക സീസൺ",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
കശുവണ്ടി,Coffee,"കൊല്ലം, കോഴിക്കോട്","കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്","പച്ചിലവളം, രാസവളം","തുലാവർഷം, കാർഷിക സീസൺ","സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
ചെറുകിട (തിനാ / ചാമ),Betel Leaf,"എറണാകുളം, പത്തനംതിട്ട",ചെങ്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, പച്ചിലവളം","മഴക്കാലം, തുലാവർഷം","ജൈവ കീട നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
കൊക്കോ,Sugarcane,"പത്തനംതിട്ട, കോഴിക്കോട്","എക്കൽ മണ്ണ്, മണൽ മണ്ണ്","ജൈവവളം, രാസവളം",തുലാവർഷം,"രാസ മരുന്ന്, സമഗ്ര കീട പരിപാലനം"
ചായ,Pineapple,"മലപ്പുറം, തിരുവനന്തപുരം","ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്","പച്ചിലവളം, ജൈവവളം","വേനൽക്കാലം, കാർഷിക സീസൺ",ജൈവ കീട നിയന്ത്രണം
പച്ചമുളക്,Coconut,"വയനാട്, കൊല്ലം","കളിമണ്ണ്, എക്കൽ മണ്ണ്",ജൈവവളം,"തുലാവർഷം, വേനൽക്കാലം",സമഗ്ര കീട പരിപാലനം
തേങ്ങ,Sugarcane,"തിരുവനന്തപുരം, എറണാകുളം","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",കമ്പോസ്റ്റ്,തുലാവർഷം,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, ജൈവ കീട നിയന്ത്രണം"
ചെറുകിട (തിനാ / ചാമ),Drumstick,"പാലക്കാട്, മലപ്പുറം, വയനാട്",കളിമണ്ണ്,"രാസവളം, പച്ചിലവളം","കാർഷിക സീസൺ, മഴക്കാലം","ജൈവ കീട നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
തേങ്ങ,Rice,കാസർഗോഡ്,എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, പച്ചിലവളം",മഴക്കാലം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
കരിമ്പ്,Drumstick,"കൊല്ലം, കണ്ണൂർ","മണൽ മണ്ണ്, എക്കൽ മണ്ണ്","രാസവളം, കമ്പോസ്റ്റ്","വേനൽക്കാലം, തുലാവർഷം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
കൊക്കോ,Cashew,"ഇടുക്കി, വയനാട്, കോട്ടയം",മണൽ മണ്ണ്,"രാസവളം, ജൈവവളം",കാർഷിക സീസൺ,രാസ മരുന്ന്
ഉരുളക്കിഴങ്ങ്,Pigeon Pea,കോഴിക്കോട്,മണൽ മണ്ണ്,കമ്പോസ്റ്റ്,"വേനൽക്കാലം, തുലാവർഷം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
കുരുമുളക്,Coffee,തൃശ്ശൂർ,"മണൽ മണ്ണ്, എക്കൽ മണ്ണ്",കമ്പോസ്റ്റ്,"വേനൽക്കാലം, തുലാവർഷം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
പപ്പായ,Corn,വയനാട്,ചെങ്കൽ മണ്ണ്,കമ്പോസ്റ്റ്,വേനൽക്കാലം,രാസ മരുന്ന്
ടർ / ചുവന്ന പയർ,Finger Millet,"കാസർഗോഡ്, കോഴിക്കോട്",മണൽ മണ്ണ്,പച്ചിലവളം,കാർഷിക സീസൺ,"സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
